_id	word	level_id	length	order	hint
1	РОМ	1	6	1	
2	ДУБ	1	6	2	
3	ЛЁД	1	6	3	
4	СЫР	2	6	1	
5	НОЖ	2	6	2	
6	ПОЛ	2	6	3	
7	ПОТ	3	6	1	
8	ВЕК	3	6	2	
9	ШАГ	3	6	3	
10	ВЕС	4	6	1	
11	ЗАЛ	4	6	2	
12	ЗУБ	4	6	3	
13	УКСУС	5	10	1	
14	МЕНЮ	5	8	2	
15	ОАЗИС	6	10	1	
16	МАМА	6	8	2	
17	ДЕФИС	7	10	1	
18	ВДОХ	7	8	2	
19	БИНТ	7	8	3	
20	МЭР	7	6	4	
21	БАМБУК	8	12	1	
22	АНАНАС	8	12	2	
23	БАЗА	8	8	3	
24	ГРУДА	9	10	1	
25	УЖИН	9	8	2	
26	ТРЮМ	9	8	3	
27	ЗАД	9	6	4	
28	ПАЛУБА	10	12	1	
29	МАССИВ	10	12	2	
30	БРИЗ	10	8	3	
31	ФИГУРА	11	12	1	
32	СИЛАЧ	11	10	2	
33	СМЕРЧ	11	10	3	
34	НИКЕЛЬ	12	12	1	
35	ЗОЛА	12	8	2	
36	КОЛ	12	6	3	
37	ПУП	12	6	4	
38	НАЧАЛО	13	12	1	
39	ХВОЩ	13	8	2	
40	МИР	13	6	3	
41	ПАЖ	13	6	4	
42	НАТРИЙ	14	12	1	
43	ФЛЮГЕР	14	12	2	
44	ЦИНК	14	8	3	
45	ЛОТОК	15	10	1	
46	ПАРУС	15	10	2	
47	ЙОГ	15	6	3	
48	ГОД	15	6	4	
49	ЛИРИКА	16	12	1	
50	РОТА	16	8	2	
51	ДЕД	16	6	3	
52	УЮТ	16	6	4	
53	ТАЙГА	17	10	1	
54	ПИРС	17	8	2	
55	ЛАЙМ	17	8	3	
56	БОГ	17	6	4	
57	ОБИЛИЕ	18	12	1	
58	ЮМОР	18	8	2	
59	МИФ	18	6	3	
60	ШАР	18	6	4	
61	САПФИР	19	12	1	
62	ДОЦЕНТ	19	12	2	
63	ЗАРЯД	19	10	3	
64	КАРТА	19	10	4	
65	ЗОВ	19	6	5	
66	ЗАЧЁТКА	20	14	1	
67	НИЩЕТА	20	12	2	
68	ЖУК	20	6	3	
69	МЕЛ	20	6	4	
70	МОХ	20	6	5	
71	РОГ	20	6	6	
72	КВАРТЕТ	21	14	1	
73	ГЕОГРАФ	21	14	2	
74	БОЙКОТ	21	12	3	
75	АЛЛЕЯ	21	10	4	
76	ВОЗРАСТ	22	14	1	
77	ВЗДОР	22	10	2	
78	УЖАС	22	8	3	
79	БЫК	22	6	4	
80	САД	22	6	5	
81	ПУХ	22	6	6	
82	ПИТОМЕЦ	23	14	1	
83	МАЛАХИТ	23	14	2	
84	БЕДРО	23	10	3	
85	ЁРШ	23	6	4	
86	КИЙ	23	6	5	
87	БАЛЛАДА	24	14	1	
88	МАСЛИНА	24	14	2	
89	ЖИЖА	24	8	3	
90	БОЛТ	24	8	4	
91	ШУТ	24	6	5	
92	ГРАМОТА	25	14	1	
93	ДОНОР	25	10	2	
94	СМЕХ	25	8	3	
95	КОД	25	6	4	
96	ШОК	25	6	5	
97	МЫС	25	6	6	
98	ОБРУБОК	26	14	1	
99	НИЧЬЯ	26	10	2	
100	АМБАР	26	10	3	
101	УЗОР	26	8	4	
102	ПИКА	26	8	5	
103	ГРАВЮРА	27	14	1	
104	КОРОВА	27	12	2	
105	ОБРЫВ	27	10	3	
106	ГНОМ	27	8	4	
107	ЧАЙ	27	6	5	
108	УНИТАЗ	28	12	1	
109	КАЛИЙ	28	10	2	
110	ПИЛОТ	28	10	3	
111	ТУПИК	28	10	4	
112	ХЛОР	28	8	5	
113	ДЕКАБРЬ	29	14	1	
114	ОКРОШКА	29	14	2	
115	МЫЛО	29	8	3	
116	ЗЛАК	29	8	4	
117	ЧАС	29	6	5	
118	СЕЗОН	30	10	1	
119	ТИПАЖ	30	10	2	
120	ЗЕРНО	30	10	3	
121	КИВИ	30	8	4	
122	РОЙ	30	6	5	
123	СУД	30	6	6	
124	ДЫМОХОД	31	14	1	
125	ОБНОВА	31	12	2	
126	КОЛЕСО	31	12	3	
127	ВИЛКА	31	10	4	
128	ДАМБА	31	10	5	
129	ФАРШ	31	8	6	
130	НОС	31	6	7	
131	ДИКТОФОН	32	16	1	
132	ПОСОБНИК	32	16	2	
133	ГОЛУБИКА	32	16	3	
134	ВАКЦИНА	32	14	4	
135	ЗВЕРЬ	32	10	5	
136	ПОГРУЗКА	33	16	1	
137	ПЕРСОНАЖ	33	16	2	
138	ПОМАДА	33	12	3	
139	КОНЬЯК	33	12	4	
140	ЛИХАЧ	33	10	5	
141	РОВ	33	6	6	
142	ПРОВОЗ	34	12	1	
143	ЗЛОСТЬ	34	12	2	
144	МЯСНИК	34	12	3	
145	ПЛОМБА	34	12	4	
146	ВЫШКА	34	10	5	
147	КАРП	34	8	6	
148	РИФ	34	6	7	
149	ПОЛЯРНИК	35	16	1	
150	ОТОГРЕВ	35	14	2	
151	СТЕКЛО	35	12	3	
152	СОРТ	35	8	4	
153	ЧАСЫ	35	8	5	
154	ПОРТ	35	8	6	
155	ЛЕВ	35	6	7	
156	ПОЛИМЕР	36	14	1	
157	ПОХВАЛА	36	14	2	
158	БИАТЛОН	36	14	3	
159	СВИНЕЦ	36	12	4	
160	БАНКА	36	10	5	
161	НЯНЯ	36	8	6	
162	ОРНАМЕНТ	37	16	1	
163	ЗАЙЧОНОК	37	16	2	
164	СНЕГИРЬ	37	14	3	
165	ЛЕШИЙ	37	10	4	
166	ТРОС	37	8	5	
167	ПЛОВ	37	8	6	
168	МИКСТУРА	38	16	1	
169	ЛИТОВЕЦ	38	14	2	
170	РАСХОД	38	12	3	
171	ЗНАНИЕ	38	12	4	
172	СОМ	38	6	5	
173	СОК	38	6	6	
174	ЗЛО	38	6	7	
175	НЕВЕСТКА	39	16	1	
176	ФЕНХЕЛЬ	39	14	2	
177	ПОДКОРМ	39	14	3	
178	СОЛИСТ	39	12	4	
179	БРЮХО	39	10	5	
180	ЙОД	39	6	6	
181	СКОРЛУПА	40	16	1	
182	ВАФЛЯ	40	10	2	
183	КАНАЛ	40	10	3	
184	МЫШЬ	40	8	4	
185	СЛУХ	40	8	5	
186	ЛУЖА	40	8	6	
187	РАЙ	40	6	7	
188	ЛЁН	40	6	8	
189	ОБЛОЖКА	41	14	1	
190	ПОЛЯНА	41	12	2	
191	ЗАПРЕТ	41	12	3	
192	БРОСОК	41	12	4	
193	УДАР	41	8	5	
194	МУХА	41	8	6	
195	НИЗ	41	6	7	
196	МУШКЕТЁР	42	16	1	
197	ЛУКОШКО	42	14	2	
198	СЕКУНДА	42	14	3	
199	АРОМАТ	42	12	4	
200	ОТГИБ	42	10	5	
201	ЯМА	42	6	6	
202	ИНТЕРЬЕР	43	16	1	
203	ОРЛЁНОК	43	14	2	
204	ПРОДУКТ	43	14	3	
205	МИСТЕР	43	12	4	
206	ПУСК	43	8	5	
207	КОНЬ	43	8	6	
208	НАКЛЕЙКА	44	16	1	
209	МОЛИТВА	44	14	2	
210	ПОКЕР	44	10	3	
211	ТАТУ	44	8	4	
212	ЧИЖ	44	6	5	
213	ЛИС	44	6	6	
214	ДАР	44	6	7	
215	СЕВ	44	6	8	
216	ОСНАСТКА	45	16	1	
217	КОНТРАКТ	45	16	2	
218	ПРИКОЛ	45	12	3	
219	ОЧЕРК	45	10	4	
220	ВЕСЛО	45	10	5	
221	ДАЧА	45	8	6	
222	ПОМОЩНИЦА	46	18	1	
223	БУХГАЛТЕР	46	18	2	
224	ПРИЩЕПКА	46	16	3	
225	ЛЮДОЕД	46	12	4	
226	МАЖОР	46	10	5	
227	КУРАЖ	46	10	6	
228	БОЛЬ	46	8	7	
229	ПАН	46	6	8	
230	КОНТРАБАС	47	18	1	
231	ИЕРОГЛИФ	47	16	2	
232	ЗАПРАВКА	47	16	3	
233	ГРАНАТА	47	14	4	
234	БАРЬЕР	47	12	5	
235	КУЧА	47	8	6	
236	БОКС	47	8	7	
237	ОСЬ	47	6	8	
238	ПРОЗРЕНИЕ	48	18	1	
239	ДИСКОТЕКА	48	18	2	
240	КАРТИНА	48	14	3	
241	ВИТЯЗЬ	48	12	4	
242	ГАЛЛОН	48	12	5	
243	МЯТА	48	8	6	
244	УТКА	48	8	7	
245	БРАТ	48	8	8	
246	ПАРТНЕРША	49	18	1	
247	ОДУВАНЧИК	49	18	2	
248	ЛЕГЕНДА	49	14	3	
249	ЗООЛОГ	49	12	4	
250	ГЕНИЙ	49	10	5	
251	МЕСЯЦ	49	10	6	
252	ТИГР	49	8	7	
253	ВЕКО	49	8	8	
254	ПЕСОЧНИЦА	50	18	1	
255	ЭКЗОТИКА	50	16	2	
256	ГАРДЕРОБ	50	16	3	
257	ПОМЫСЕЛ	50	14	4	
258	ДУБИНКА	50	14	5	
259	ЖАБА	50	8	6	
260	КУБ	50	6	7	
261	БЫТ	50	6	8	
262	ГОСТИНИЦА	51	18	1	
263	ИСКУССТВО	51	18	2	
264	ЦИФЕРБЛАТ	51	18	3	
265	ДЕДУКЦИЯ	51	16	4	
266	ПОЛНОТА	51	14	5	
267	КУКУШКА	51	14	6	
268	БУТЕРБРОД	52	18	1	
269	УПОРСТВО	52	16	2	
270	ПОДМЕНА	52	14	3	
271	БЕРКУТ	52	12	4	
272	ПОГОНЯ	52	12	5	
273	ШТРАФ	52	10	6	
274	РУНА	52	8	7	
275	СОВА	52	8	8	
276	ПРОМЫСЕЛ	53	16	1	
277	ПРОВЕРКА	53	16	2	
278	ДИКОБРАЗ	53	16	3	
279	КРАЖА	53	10	4	
280	НЕФТЬ	53	10	5	
281	СМЕНА	53	10	6	
282	СОЛОД	53	10	7	
283	БАРАК	53	10	8	
284	ГИМНАСТКА	54	18	1	
285	ПАНТОМИМА	54	18	2	
286	РОМАНТИК	54	16	3	
287	ГЛУБИНА	54	14	4	
288	РАДУГА	54	12	5	
289	ОТКАТ	54	10	6	
290	СКЛОН	54	10	7	
291	ЛИЦЕНЗИЯ	55	16	1	
292	КАПЮШОН	55	14	2	
293	ПУЛЕМЁТ	55	14	3	
294	ПАРАПЕТ	55	14	4	
295	ПРИМАТ	55	12	5	
296	ЗМЕЙ	55	8	6	
297	АИСТ	55	8	7	
298	СОР	55	6	8	
299	ЛЕС	55	6	9	
300	КЛАДОВКА	56	16	1	
301	ПРОСВЕТ	56	14	2	
302	КАВЫЧКА	56	14	3	
303	МЕДАЛЬ	56	12	4	
304	САЛЯМИ	56	12	5	
305	ГИТАРА	56	12	6	
306	КОКОС	56	10	7	
307	НОТА	56	8	8	
308	ФАКУЛЬТЕТ	57	18	1	
309	ВЕРШИНА	57	14	2	
310	ДИКТАНТ	57	14	3	
311	МОШКА	57	10	4	
312	НЕБО	57	8	5	
313	ЖЕЗЛ	57	8	6	
314	ОЗОН	57	8	7	
315	ЩИТ	57	6	8	
316	МАЙ	57	6	9	
317	СЭР	57	6	10	
318	БЕНЗОПИЛА	58	18	1	
319	АБОНЕМЕНТ	58	18	2	
320	ПРАВИТЕЛЬ	58	18	3	
321	ЗАДЕРЖКА	58	16	4	
322	ПАРТИЯ	58	12	5	
323	ОКУНЬ	58	10	6	
324	ФОН	58	6	7	
325	ПЕРЕСАДКА	59	18	1	
326	ПАЛИТРА	59	14	2	
327	ДЕРЕВНЯ	59	14	3	
328	ВЫСТУП	59	12	4	
329	ВЕРСТА	59	12	5	
330	ОСМОТР	59	12	6	
331	ЛАСТА	59	10	7	
332	УХА	59	6	8	
333	ПЕНСИОНЕР	60	18	1	
334	АЛЬПИНИСТ	60	18	2	
335	ПАНОРАМА	60	16	3	
336	КОРОЛЕВА	60	16	4	
337	ДОПРОС	60	12	5	
338	ЭРУДИТ	60	12	6	
339	ВЯЗ	60	6	7	
340	КОПТИЛЬНЯ	61	18	1	
341	КЛАДОВЩИК	61	18	2	
342	ТРАНЗИТ	61	14	3	
343	КОСТЁР	61	12	4	
344	ОТСТУП	61	12	5	
345	ФАКЕЛ	61	10	6	
346	ЯДРО	61	8	7	
347	МУЖ	61	6	8	
348	ЗАСЕДАНИЕ	62	18	1	
349	ПЕРЕПОНКА	62	18	2	
350	ПОДОГРЕВ	62	16	3	
351	БАТИСКАФ	62	16	4	
352	РЫЦАРЬ	62	12	5	
353	МУСОР	62	10	6	
354	ФОРА	62	8	7	
355	ВОСЬМЁРКА	63	18	1	
356	ПЕРЕГРЕВ	63	16	2	
357	РАКУШКА	63	14	3	
358	СВИТЕР	63	12	4	
359	АПТЕКА	63	12	5	
360	КУПОН	63	10	6	
361	БОНУС	63	10	7	
362	ЭХО	63	6	8	
363	СКАТЕРТЬ	64	16	1	
364	ШИРИНА	64	12	2	
365	БУНКЕР	64	12	3	
366	СУЛТАН	64	12	4	
367	ОБИВКА	64	12	5	
368	ШАЛАШ	64	10	6	
369	ШИТЬЁ	64	10	7	
370	ВИЗА	64	8	8	
371	ВОЛ	64	6	9	
372	НАТЮРМОРТ	65	18	1	
373	НАСЛЕДНИК	65	18	2	
374	КРЕДИТ	65	12	3	
375	ЦИКЛОН	65	12	4	
376	ИКОНА	65	10	5	
377	ДЕКАН	65	10	6	
378	ЖЕТОН	65	10	7	
379	КРИК	65	8	8	
380	ПАПОРОТНИК	66	20	1	
